RabA,RabB,RabC,RabD,RabE,area,memCis,memL,memLS,memMedial,memS,memTrans,memTub,membraneMarker,proton,solL,solS,solubleMarker,volume,
0.0,0.0,1430995.45,15393.8,0.0,1446389.26,6392.16,8033.0,3.03,6392.16,6392.16,6392.16,0.0,1.0,816.28,196257.0,160201.42,1.0,1.442697886E7,
0.0,0.0,1430995.45,15393.8,0.0,1446389.26,6392.16,8033.0,3.03,6392.16,6392.16,6392.16,0.0,1.0,816.28,196257.0,160201.42,1.0,1.442697886E7,
0.0,0.0,1415601.65,15393.8,0.0,1430995.45,6324.13,8033.0,1.42,6324.13,6324.13,6324.13,0.0,1.0,808.66,196257.0,158705.72,1.0,1.429228307E7,
0.0,0.0,1400207.85,15393.8,0.0,1415601.65,6256.1,8033.0,0.65,6256.1,6256.1,6256.1,0.0,1.0,801.04,196257.0,157210.01,1.0,1.415758729E7,
0.0,0.0,1400207.85,15393.8,0.0,1415601.65,6256.1,8033.0,0.65,6256.1,6256.1,6256.1,0.0,1.0,801.04,196257.0,157210.01,1.0,1.415758729E7,
0.0,0.0,1400207.85,30787.61,0.0,1430995.45,6257.79,8033.0,0.65,6257.79,6257.79,6257.79,0.49,1.0,801.22,196257.0,157244.46,1.0,1.429228307E7,
0.0,0.0,1400207.85,30787.61,0.0,1430995.45,6257.79,8033.0,0.65,6257.79,6257.79,6257.79,0.49,1.0,801.22,196257.0,157244.46,1.0,1.429228307E7,
0.0,0.0,1400207.85,30787.61,0.0,1430995.45,6257.79,8033.0,0.65,6257.79,6257.79,6257.79,0.49,1.0,801.22,196257.0,157244.46,1.0,1.429228307E7,
0.0,0.0,1400207.85,30787.61,0.0,1430995.45,6257.79,8033.0,0.65,6257.79,6257.79,6257.79,0.49,1.0,801.22,196257.0,157244.46,1.0,1.429228307E7,
0.0,0.0,0.0,1400207.85,30787.61,1430995.45,6257.79,8033.0,0.65,6257.79,6257.79,6257.79,0.49,1.0,801.22,196257.0,157244.46,1.0,1.429228307E7,
0.0,0.0,0.0,1384814.04,30787.61,1415601.65,6190.48,8033.0,0.65,6190.48,6190.48,6190.48,0.22,1.0,793.67,196257.0,155762.53,1.0,1.415758729E7,
0.0,0.0,0.0,1384814.04,30787.61,1415601.65,6190.48,8033.0,0.65,6190.48,6190.48,6190.48,0.22,1.0,793.67,196257.0,155762.53,1.0,1.415758729E7,
0.0,0.0,0.0,1384814.04,30787.61,1415601.65,6190.48,8033.0,0.65,6190.48,6190.48,6190.48,0.22,1.0,793.67,196257.0,155762.53,1.0,1.415758729E7,
0.0,0.0,0.0,1384814.04,30787.61,1415601.65,6190.48,8033.0,0.65,6190.48,6190.48,6190.48,0.22,1.0,793.67,196257.0,155762.53,1.0,1.415758729E7,
0.0,0.0,0.0,1384814.04,46181.41,1430995.45,6192.16,8033.0,0.65,6192.16,6192.16,6192.16,4.23,1.0,793.84,196257.0,155796.76,1.0,1.429228307E7,
0.0,0.0,0.0,1384814.04,46181.41,1430995.45,6192.16,8033.0,0.65,6192.16,6192.16,6192.16,4.23,1.0,793.84,196257.0,155796.76,1.0,1.429228307E7,
