RabA,RabB,RabC,RabD,RabE,
0.0,323269.88405,6724579.07581,3662468.71595,2308442.28206,
1618234.37586,323269.88405,6724579.07581,3662468.71595,2308442.28206,
1618234.37586,323269.88405,6724579.07581,3662468.71595,2308442.28206,
1587446.76786,323269.88405,6724579.07581,3662468.71595,2308442.28206,
1587446.76786,323269.88405,6724579.07581,3662468.71595,2308442.28206,
1587446.76786,323269.88405,6724579.07581,3662468.71595,2308442.28206,
1587446.76786,323269.88405,6724579.07581,3662468.71595,2308442.28206,
1572052.96386,323269.88405,6724579.07581,3662468.71595,2308442.28206,
1572052.96386,323269.88405,6724579.07581,3662468.71595,2308442.28206,
1572052.96386,323269.88405,6724579.07581,3662468.71595,2308442.28206,
1572052.96386,323269.88405,6724579.07581,3662468.71595,2308442.28206,
1572052.96386,323269.88405,6724579.07581,3662468.71595,2308442.28206,
1572052.96386,323269.88405,6724579.07581,3662468.71595,2308442.28206,
1572052.96386,323269.88405,6724579.07581,3662468.71595,2308442.28206,
1572052.96386,323269.88405,6724579.07581,3662468.71595,2308442.28206,
1572052.96386,323269.88405,6724579.07581,3662468.71595,2308442.28206,
1556659.15985,323269.88405,6724579.07581,3662468.71595,2308442.28206,
1556659.15985,323269.88405,6724579.07581,3662468.71595,2308442.28206,
1556659.15985,323269.88405,6724579.07581,3662468.71595,2308442.28206,
1556659.15985,323269.88405,6724579.07581,3662468.71595,2308442.28206,
1556659.15985,323269.88405,6724579.07581,3662468.71595,2308442.28206,
1556659.15985,323269.88405,6724579.07581,3662468.71595,2308442.28206,
1556659.15985,323269.88405,6724579.07581,3662468.71595,2308442.28206,
1541265.35585,323269.88405,6724579.07581,3662468.71595,2308442.28206,
1525871.55185,323269.88405,6724579.07581,3662468.71595,2308442.28206,
1525871.55185,323269.88405,6724579.07581,3662468.71595,2308442.28206,
1525871.55185,323269.88405,6724579.07581,3662468.71595,2308442.28206,
1525871.55185,323269.88405,6724579.07581,3662468.71595,2308442.28206,
1525871.55185,323269.88405,6724579.07581,3662468.71595,2308442.28206,
1510477.74785,323269.88405,6724579.07581,3662468.71595,2308442.28206,
0.0,1510477.74785,831265.41614,4616256.24578,2539349.3421,
1618234.37586,1510477.74785,831265.41614,4616256.24578,2539349.3421,
1618234.37586,1510477.74785,831265.41614,4616256.24578,2539349.3421,
1618234.37586,1510477.74785,831265.41614,4616256.24578,2539349.3421,
1618234.37586,1510477.74785,831265.41614,4616256.24578,2539349.3421,
1618234.37586,1510477.74785,831265.41614,4616256.24578,2539349.3421,
1618234.37586,1510477.74785,831265.41614,4616256.24578,2539349.3421,
1618234.37586,1510477.74785,831265.41614,4616256.24578,2539349.3421,
1618234.37586,1510477.74785,831265.41614,4616256.24578,2539349.3421,
1587446.76786,1510477.74785,831265.41614,4616256.24578,2539349.3421,
1587446.76786,1510477.74785,831265.41614,4616256.24578,2539349.3421,
1587446.76786,1510477.74785,831265.41614,4616256.24578,2539349.3421,
1587446.76786,1510477.74785,831265.41614,4616256.24578,2539349.3421,
1587446.76786,1510477.74785,831265.41614,4616256.24578,2539349.3421,
1572052.96386,1510477.74785,831265.41614,4616256.24578,2539349.3421,
1572052.96386,1510477.74785,831265.41614,4616256.24578,2539349.3421,
1572052.96386,1510477.74785,831265.41614,4616256.24578,2539349.3421,
1572052.96386,1510477.74785,831265.41614,4616256.24578,2539349.3421,
1572052.96386,1510477.74785,831265.41614,4616256.24578,2539349.3421,
1572052.96386,1510477.74785,831265.41614,4616256.24578,2539349.3421,
1572052.96386,1510477.74785,831265.41614,4616256.24578,2539349.3421,
1556659.15985,1510477.74785,831265.41614,4616256.24578,2539349.3421,
1556659.15985,1510477.74785,831265.41614,4616256.24578,2539349.3421,
1541265.35585,1510477.74785,831265.41614,4616256.24578,2539349.3421,
1541265.35585,1510477.74785,831265.41614,4616256.24578,2539349.3421,
1541265.35585,1510477.74785,831265.41614,4616256.24578,2539349.3421,
1541265.35585,1510477.74785,831265.41614,4616256.24578,2539349.3421,
1541265.35585,1510477.74785,831265.41614,4616256.24578,2539349.3421,
1541265.35585,1510477.74785,831265.41614,4616256.24578,2539349.3421,
1541265.35585,1510477.74785,831265.41614,4616256.24578,2539349.3421,
0.0,1572052.96386,1510477.74785,1231504.32021,2846597.10382,
1633628.17987,1572052.96386,1510477.74785,1231504.32021,2846597.10382,
1618234.37586,1572052.96386,1510477.74785,1231504.32021,2846597.10382,
1618234.37586,1572052.96386,1510477.74785,1231504.32021,2846597.10382,
1602840.57186,1572052.96386,1510477.74785,1231504.32021,2846597.10382,
1602840.57186,1572052.96386,1510477.74785,1231504.32021,2846597.10382,
1602840.57186,1572052.96386,1510477.74785,1231504.32021,2846597.10382,
1602840.57186,1572052.96386,1510477.74785,1231504.32021,2846597.10382,
1602840.57186,1572052.96386,1510477.74785,1231504.32021,2846597.10382,
1587446.76786,1572052.96386,1510477.74785,1231504.32021,2846597.10382,
1587446.76786,1572052.96386,1510477.74785,1231504.32021,2846597.10382,
1556659.15985,1572052.96386,1510477.74785,1231504.32021,2846597.10382,
1541265.35585,1572052.96386,1510477.74785,1231504.32021,2846597.10382,
1510477.74785,1572052.96386,1510477.74785,1231504.32021,2846597.10382,
1510477.74785,1572052.96386,1510477.74785,1231504.32021,2846597.10382,
1495083.94384,1572052.96386,1510477.74785,1231504.32021,2846597.10382,
1495083.94384,1572052.96386,1510477.74785,1231504.32021,2846597.10382,
1479690.13984,1572052.96386,1510477.74785,1231504.32021,2846597.10382,
1479690.13984,1572052.96386,1510477.74785,1231504.32021,2846597.10382,
1479690.13984,1572052.96386,1510477.74785,1231504.32021,2846597.10382,
1479690.13984,1572052.96386,1510477.74785,1231504.32021,2846597.10382,
1464296.33584,1572052.96386,1510477.74785,1231504.32021,2846597.10382,
1464296.33584,1572052.96386,1510477.74785,1231504.32021,2846597.10382,
1464296.33584,1572052.96386,1510477.74785,1231504.32021,2846597.10382,
1464296.33584,1572052.96386,1510477.74785,1231504.32021,2846597.10382,
1464296.33584,1572052.96386,1510477.74785,1231504.32021,2846597.10382,
1448902.53184,1572052.96386,1510477.74785,1231504.32021,2846597.10382,
1448902.53184,1572052.96386,1510477.74785,1231504.32021,2846597.10382,
1448902.53184,1572052.96386,1510477.74785,1231504.32021,2846597.10382,
1448902.53184,1572052.96386,1510477.74785,1231504.32021,2846597.10382,
0.0,1556659.15985,1464296.33584,1572052.96386,1554774.20426,
1633628.17987,1556659.15985,1464296.33584,1572052.96386,1554774.20426,
1633628.17987,1556659.15985,1464296.33584,1572052.96386,1554774.20426,
1633628.17987,1556659.15985,1464296.33584,1572052.96386,1554774.20426,
1633628.17987,1556659.15985,1464296.33584,1572052.96386,1554774.20426,
1633628.17987,1556659.15985,1464296.33584,1572052.96386,1554774.20426,
1633628.17987,1556659.15985,1464296.33584,1572052.96386,1554774.20426,
1633628.17987,1556659.15985,1464296.33584,1572052.96386,1554774.20426,
1633628.17987,1556659.15985,1464296.33584,1572052.96386,1554774.20426,
1587446.76786,1556659.15985,1464296.33584,1572052.96386,1554774.20426,
1587446.76786,1556659.15985,1464296.33584,1572052.96386,1554774.20426,
1587446.76786,1556659.15985,1464296.33584,1572052.96386,1554774.20426,
1587446.76786,1556659.15985,1464296.33584,1572052.96386,1554774.20426,
1572052.96386,1556659.15985,1464296.33584,1572052.96386,1554774.20426,
1572052.96386,1556659.15985,1464296.33584,1572052.96386,1554774.20426,
1572052.96386,1556659.15985,1464296.33584,1572052.96386,1554774.20426,
1572052.96386,1556659.15985,1464296.33584,1572052.96386,1554774.20426,
1572052.96386,1556659.15985,1464296.33584,1572052.96386,1554774.20426,
1572052.96386,1556659.15985,1464296.33584,1572052.96386,1554774.20426,
1572052.96386,1556659.15985,1464296.33584,1572052.96386,1554774.20426,
1572052.96386,1556659.15985,1464296.33584,1572052.96386,1554774.20426,
1556659.15985,1556659.15985,1464296.33584,1572052.96386,1554774.20426,
1556659.15985,1556659.15985,1464296.33584,1572052.96386,1554774.20426,
1556659.15985,1556659.15985,1464296.33584,1572052.96386,1554774.20426,
1541265.35585,1556659.15985,1464296.33584,1572052.96386,1554774.20426,
1541265.35585,1556659.15985,1464296.33584,1572052.96386,1554774.20426,
1541265.35585,1556659.15985,1464296.33584,1572052.96386,1554774.20426,
1541265.35585,1556659.15985,1464296.33584,1572052.96386,1554774.20426,
