#cisterns#,#vesicles#,entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,
5.0,24.0,1.36776,0.25842,0.18246,0.26231,0.0,0.31576,0.23946,
5.0,22.0,1.36949,0.26993,0.18529,0.25967,0.0,0.31294,0.24209,
5.0,27.0,1.36996,0.26269,0.18549,0.26065,0.0,0.31098,0.24288,
5.0,29.0,1.36933,0.25537,0.18439,0.26156,0.0,0.31207,0.24198,
5.0,32.0,1.36909,0.25183,0.18392,0.26164,0.0,0.31251,0.24192,
5.0,22.0,1.36953,0.30293,0.1842,0.27446,0.0,0.30535,0.23599,
5.0,23.0,1.36984,0.30291,0.18452,0.27494,0.0,0.30414,0.2364,
5.0,24.0,1.36997,0.29867,0.18484,0.27367,0.0,0.30467,0.23681,
5.0,29.0,1.36979,0.29041,0.18471,0.27608,0.0,0.30383,0.23538,
5.0,28.0,1.36929,0.30246,0.18438,0.27384,0.0,0.30681,0.23496,
5.0,30.0,1.36927,0.29692,0.18503,0.27304,0.0,0.30789,0.23403,
4.0,32.0,1.07748,0.32429,0.0,0.24268,0.3535,0.0,0.40381,
5.0,30.0,1.36235,0.27915,0.19606,0.1979,0.28289,0.0,0.32315,
5.0,33.0,1.3613,0.27434,0.19565,0.19565,0.28499,0.0,0.3237,
5.0,34.0,1.3615,0.27243,0.19602,0.19602,0.28366,0.0,0.3243,
5.0,35.0,1.36118,0.26804,0.19488,0.19675,0.28285,0.0,0.32551,
5.0,36.0,1.36163,0.26804,0.19525,0.19712,0.28338,0.0,0.32425,
5.0,38.0,1.36226,0.26715,0.19598,0.19786,0.28256,0.0,0.32359,
5.0,39.0,1.36244,0.26211,0.19635,0.19824,0.28121,0.0,0.3242,
5.0,22.0,1.35839,0.29809,0.19025,0.19208,0.30719,0.0,0.31047,
5.0,23.0,1.35814,0.29337,0.18912,0.19278,0.30648,0.0,0.31161,
5.0,23.0,1.35814,0.29337,0.18912,0.19278,0.30648,0.0,0.31161,
5.0,26.0,1.35714,0.28728,0.18716,0.19272,0.30747,0.0,0.31265,
5.0,22.0,1.35933,0.32128,0.18429,0.20086,0.30393,0.0,0.31092,
5.0,23.0,1.35838,0.32084,0.18161,0.20197,0.30377,0.0,0.31265,
5.0,26.0,1.35782,0.31592,0.18263,0.19938,0.30546,0.0,0.31253,
5.0,28.0,1.35787,0.31488,0.18178,0.2005,0.30531,0.0,0.31241,
5.0,29.0,1.35819,0.30941,0.18212,0.20087,0.30401,0.0,0.313,
5.0,24.0,1.36063,0.34543,0.18821,0.19938,0.30174,0.0,0.31067,
5.0,26.0,1.36133,0.34034,0.18891,0.20012,0.30287,0.0,0.30809,
5.0,27.0,1.36243,0.34692,0.18927,0.20237,0.30156,0.0,0.3068,
5.0,29.0,1.36229,0.33767,0.18998,0.20125,0.30082,0.0,0.30795,
5.0,32.0,1.36099,0.32242,0.18763,0.20088,0.3012,0.0,0.31028,
5.0,15.0,1.35294,0.37836,0.18178,0.19095,0.32666,0.0,0.30061,
5.0,17.0,1.35263,0.37822,0.18245,0.18981,0.32786,0.0,0.29988,
5.0,13.0,1.35478,0.40181,0.18112,0.19573,0.32546,0.0,0.29768,
5.0,16.0,1.35588,0.39608,0.18211,0.19681,0.32358,0.0,0.29749,
5.0,18.0,1.35484,0.39076,0.17943,0.1979,0.32538,0.0,0.29729,
5.0,19.0,1.35527,0.3895,0.17976,0.19827,0.32413,0.0,0.29784,
5.0,18.0,1.35553,0.39113,0.17758,0.2016,0.32353,0.0,0.29729,
5.0,22.0,1.35618,0.38782,0.1789,0.20124,0.32222,0.0,0.29764,
3.0,21.0,1.06451,0.46123,0.0,0.25404,0.2884,0.0,0.45755,
4.0,16.0,1.35895,0.41991,0.23314,0.19433,0.22089,0.0,0.35164,
4.0,16.0,1.36014,0.42571,0.23315,0.19637,0.22089,0.0,0.34959,
4.0,15.0,1.35855,0.4239,0.23267,0.19597,0.2184,0.0,0.35296,
4.0,18.0,1.3583,0.41577,0.2341,0.19513,0.21769,0.0,0.35308,
4.0,15.0,1.35544,0.41528,0.23063,0.19393,0.21636,0.0,0.35907,
4.0,14.0,1.35484,0.42177,0.23627,0.18947,0.21592,0.0,0.35834,
4.0,14.0,1.35437,0.42671,0.2383,0.18743,0.21592,0.0,0.35834,
4.0,16.0,1.35466,0.41804,0.23927,0.1882,0.21476,0.0,0.35776,
4.0,15.0,1.35477,0.42818,0.2341,0.19102,0.21564,0.0,0.35923,
4.0,11.0,1.35576,0.44885,0.2322,0.18743,0.22406,0.0,0.35631,
4.0,11.0,1.35576,0.44885,0.2322,0.18743,0.22406,0.0,0.35631,
4.0,14.0,1.35678,0.44192,0.23362,0.18859,0.22339,0.0,0.3544,
4.0,11.0,1.35458,0.44627,0.23063,0.18782,0.22248,0.0,0.35907,
4.0,13.0,1.35494,0.44472,0.23158,0.18859,0.22134,0.0,0.3585,
4.0,14.0,1.35562,0.44349,0.23205,0.18897,0.22179,0.0,0.35718,
4.0,15.0,1.35628,0.44194,0.23253,0.18936,0.22225,0.0,0.35586,
4.0,15.0,1.35659,0.44516,0.23253,0.19142,0.22019,0.0,0.35586,
4.0,18.0,1.3573,0.43516,0.23397,0.19054,0.22156,0.0,0.35393,
4.0,21.0,1.35746,0.42012,0.23335,0.19173,0.22086,0.0,0.35406,
4.0,19.0,1.35784,0.4298,0.23653,0.19093,0.21995,0.0,0.35259,
4.0,22.0,1.35864,0.4277,0.23641,0.19253,0.2197,0.0,0.35136,
4.0,14.0,1.36109,0.45875,0.23253,0.18731,0.23664,0.0,0.34353,
